a_mm,b_mm,Pwr_UV_mW,Uni_UV_All,Uni_UV_Cen,Total_Loss,Valid
2.6,7.2,17.49,0.336,0.687,506.3643,True
3.4,8.8,11.99,0.334,0.717,507.8308,True
3.2,8.4,13.23,0.332,0.709,509.5468,True
2.8,7.6,15.99,0.332,0.693,509.6785,True
3.0,8.0,14.56,0.332,0.7,510.4178,True
2.4,7.0,18.38,0.332,0.679,511.4149,True
3.4,9.0,11.51,0.331,0.717,512.1371,True
3.2,8.6,12.69,0.327,0.708,515.2045,True
2.2,6.8,19.27,0.33,0.672,515.3932,True
2.6,7.4,16.84,0.327,0.684,516.0965,True
3.0,8.2,13.98,0.325,0.699,517.263,True
2.8,7.8,15.37,0.325,0.691,517.9434,True
2.0,6.6,20.17,0.328,0.666,518.187,True
1.4,6.0,22.84,0.334,0.652,518.521,True
1.6,6.2,21.96,0.331,0.655,519.6934,True
1.8,6.4,21.07,0.329,0.66,519.7112,True
3.2,8.8,12.18,0.323,0.708,520.0799,True
2.4,7.2,17.7,0.322,0.676,521.727,True
3.0,8.4,13.42,0.32,0.699,523.3015,True
3.2,9.0,11.68,0.319,0.708,524.2125,True
2.6,7.6,16.19,0.319,0.683,524.8197,True
2.8,8.0,14.76,0.318,0.69,525.2004,True
2.2,7.0,18.58,0.319,0.669,526.4579,True
3.0,8.6,12.87,0.315,0.699,528.6319,True
2.0,6.8,19.47,0.317,0.662,529.9294,True
2.4,7.4,17.04,0.313,0.674,530.9474,True
2.8,8.2,14.17,0.312,0.69,531.5449,True
1.4,6.2,22.12,0.321,0.647,532.0071,True
1.8,6.6,20.35,0.317,0.656,532.1245,True
2.6,7.8,15.57,0.311,0.681,532.5982,True
1.6,6.4,21.24,0.318,0.651,532.92,True
3.0,8.8,12.35,0.311,0.699,533.1691,True
2.2,7.2,17.9,0.31,0.667,536.257,True
3.0,9.0,11.84,0.307,0.7,536.9248,True
2.8,8.4,13.6,0.307,0.69,537.0769,True
2.4,7.6,16.39,0.306,0.673,539.1855,True
2.6,8.0,14.95,0.305,0.681,539.3647,True
2.0,7.0,18.77,0.307,0.66,540.508,True
2.8,8.6,13.05,0.302,0.69,541.8983,True
1.8,6.8,19.65,0.306,0.653,543.3912,True
1.4,6.4,21.39,0.308,0.643,544.8246,True
1.6,6.6,20.52,0.306,0.648,544.8503,True
2.2,7.4,17.23,0.301,0.665,544.9538,True
2.6,8.2,14.35,0.3,0.681,545.2114,True
2.8,8.8,12.51,0.299,0.69,545.9227,True
2.4,7.8,15.75,0.299,0.672,546.5023,True
2.8,9.0,11.99,0.296,0.691,549.2061,True
2.0,7.2,18.08,0.298,0.658,549.8378,True
2.6,8.4,13.77,0.295,0.681,550.248,True
2.2,7.6,16.57,0.294,0.664,552.7019,True
2.4,8.0,15.13,0.293,0.672,552.7796,True
1.8,7.0,18.94,0.296,0.651,553.5169,True
2.6,8.6,13.21,0.291,0.681,554.5853,True
1.6,6.8,19.81,0.296,0.645,555.6761,True
1.4,6.6,20.67,0.297,0.64,556.3034,True
2.0,7.4,17.4,0.29,0.657,558.0207,True
2.6,8.8,12.66,0.288,0.682,558.1015,True
2.4,8.2,14.52,0.288,0.672,558.1536,True
2.2,7.8,15.92,0.288,0.663,559.5592,True
2.6,9.0,12.14,0.286,0.684,560.9019,True
1.8,7.2,18.24,0.288,0.649,562.3947,True
2.4,8.4,13.93,0.284,0.673,562.7369,True
2.0,7.6,16.73,0.284,0.656,565.3119,True
1.6,7.0,19.09,0.287,0.643,565.3764,True
2.2,8.0,15.29,0.283,0.663,565.3991,True
2.4,8.6,13.36,0.281,0.673,566.6024,True
1.4,6.8,19.95,0.287,0.638,566.7148,True
2.4,8.8,12.8,0.278,0.675,569.6399,True
1.8,7.4,17.56,0.281,0.649,570.0977,True
2.2,8.2,14.67,0.278,0.664,570.2973,True
2.0,7.8,16.08,0.278,0.655,571.7139,True
2.4,9.0,12.27,0.276,0.676,571.983,True
1.6,7.2,18.39,0.279,0.642,573.8413,True
2.2,8.4,14.07,0.274,0.665,574.4429,True
1.4,7.0,19.23,0.278,0.636,576.0258,True
1.8,7.6,16.88,0.274,0.648,576.9305,True
2.0,8.0,15.44,0.273,0.656,577.134,True
2.2,8.6,13.5,0.271,0.666,577.8978,True
2.2,8.8,12.94,0.269,0.667,580.4923,True
1.6,7.4,17.7,0.272,0.641,581.0854,True
2.0,8.2,14.81,0.269,0.657,581.5847,True
2.2,9.0,12.4,0.267,0.669,582.37,True
1.8,7.8,16.22,0.269,0.648,582.9102,True
1.4,7.2,18.52,0.271,0.635,584.1128,True
2.0,8.4,14.21,0.265,0.658,585.3251,True
1.6,7.6,17.02,0.266,0.641,587.5045,True
1.8,8.0,15.57,0.264,0.649,587.9144,True
2.0,8.6,13.62,0.263,0.659,588.3778,True
2.0,8.8,13.06,0.261,0.661,590.5886,True
1.4,7.4,17.82,0.264,0.635,590.9534,True
1.8,8.2,14.94,0.26,0.65,591.9665,True
2.0,9.0,12.51,0.26,0.663,592.0296,True
1.6,7.8,16.35,0.261,0.642,593.0878,True
1.8,8.4,14.33,0.257,0.651,595.3248,True
1.4,7.6,17.13,0.259,0.635,596.9615,True
1.6,8.0,15.69,0.257,0.642,597.708,True
1.8,8.6,13.74,0.255,0.653,598.0165,True
1.8,8.8,13.17,0.253,0.655,599.8591,True
1.8,9.0,12.62,0.252,0.657,600.9119,True
1.6,8.2,15.06,0.253,0.644,601.3765,True
1.4,7.8,16.46,0.254,0.636,602.1803,True
1.6,8.4,14.44,0.25,0.645,604.3976,True
1.4,8.0,15.8,0.25,0.637,606.4516,True
1.6,8.6,13.84,0.248,0.647,606.7531,True
1.6,8.8,13.27,0.247,0.649,608.2772,True
1.6,9.0,12.71,0.246,0.652,608.9851,True
1.4,8.2,15.16,0.247,0.638,609.7935,True
1.4,8.4,14.54,0.244,0.64,612.4936,True
1.4,8.6,13.94,0.242,0.642,614.5568,True
1.4,8.8,13.35,0.241,0.644,615.7909,True
1.4,9.0,12.79,0.241,0.647,616.1991,True
