a_mm,b_mm,Pwr_UV_mW,Uni_UV_All,Uni_UV_Cen,Total_Loss,Valid
3.6,6.6,18.02,0.457,0.763,390.0299,True
5.6,6.6,14.1,0.472,0.771,390.5757,True
4.4,7.0,15.47,0.458,0.775,391.4992,True
6.8,5.8,12.93,0.469,0.781,391.7067,True
5.4,6.8,14.06,0.471,0.77,391.7739,True
2.6,5.6,22.85,0.459,0.735,391.8319,True
7.4,5.4,12.11,0.466,0.79,392.1977,True
7.2,5.6,12.29,0.469,0.786,392.2221,True
5.2,7.0,13.99,0.469,0.77,392.9613,True
6.2,6.2,13.61,0.467,0.774,393.3579,True
3.8,6.8,17.08,0.451,0.766,394.9626,True
4.2,7.0,15.82,0.452,0.771,395.8983,True
6.6,6.0,13.06,0.463,0.777,396.0473,True
7.4,5.6,11.83,0.463,0.787,396.1578,True
7.0,5.8,12.46,0.462,0.782,396.8504,True
6.0,6.4,13.66,0.462,0.772,396.8674,True
7.6,5.4,11.64,0.458,0.792,397.8337,True
5.8,6.6,13.68,0.459,0.77,399.3023,True
7.6,5.6,11.37,0.459,0.789,399.3566,True
6.4,6.2,13.16,0.457,0.774,400.2519,True
4.8,7.2,14.23,0.452,0.772,400.3894,True
4.6,7.2,14.58,0.448,0.774,400.4801,True
5.6,6.8,13.66,0.457,0.769,400.6495,True
5.0,7.2,13.88,0.455,0.771,400.7556,True
4.0,7.0,16.16,0.443,0.767,401.0868,True
7.2,5.8,12.0,0.456,0.783,401.1581,True
5.4,7.0,13.6,0.457,0.769,401.2515,True
6.8,6.0,12.6,0.455,0.778,401.6126,True
5.2,7.2,13.51,0.456,0.769,401.8518,True
3.2,6.4,19.3,0.446,0.744,402.2284,True
3.4,6.6,18.35,0.443,0.751,402.6473,True
7.8,5.4,11.18,0.451,0.794,402.6477,True
3.0,6.2,20.26,0.446,0.738,402.9011,True
7.8,5.6,10.93,0.454,0.792,403.0948,True
4.4,7.2,14.93,0.443,0.772,403.3115,True
6.2,6.4,13.22,0.451,0.772,404.256,True
3.6,6.8,17.41,0.439,0.757,404.5903,True
7.4,5.8,11.55,0.452,0.785,404.7215,True
2.8,6.0,21.23,0.443,0.732,405.415,True
6.6,6.2,12.7,0.449,0.775,406.2928,True
7.0,6.0,12.14,0.449,0.779,406.3299,True
8.0,5.4,10.74,0.445,0.796,406.7761,True
8.0,5.6,10.5,0.448,0.794,407.0778,True
6.0,6.6,13.25,0.447,0.77,407.1967,True
7.6,5.8,11.11,0.448,0.787,407.5444,True
4.2,7.2,15.26,0.436,0.768,407.6535,True
2.6,5.8,22.19,0.44,0.726,408.1203,True
3.8,7.0,16.48,0.434,0.761,408.2594,True
5.8,6.8,13.25,0.445,0.769,409.0491,True
7.8,5.8,10.68,0.445,0.789,409.7143,True
5.4,7.2,13.15,0.445,0.768,409.7668,True
5.6,7.0,13.22,0.444,0.768,409.7678,True
7.2,6.0,11.69,0.444,0.781,410.2485,True
4.8,7.4,13.73,0.438,0.772,410.3201,True
4.6,7.4,14.07,0.434,0.773,410.4538,True
5.0,7.4,13.39,0.44,0.77,410.6173,True
2.4,5.6,23.14,0.437,0.721,410.6809,True
6.4,6.4,12.78,0.442,0.772,410.7797,True
8.0,5.8,10.27,0.444,0.792,411.1887,True
5.2,7.4,13.05,0.442,0.769,411.4503,True
6.8,6.2,12.26,0.441,0.776,411.468,True
4.0,7.2,15.58,0.429,0.764,412.9621,True
7.4,6.0,11.26,0.439,0.783,413.4106,True
4.4,7.4,14.39,0.429,0.769,413.9988,True
6.2,6.6,12.83,0.437,0.77,414.2217,True
7.0,6.2,11.82,0.435,0.778,415.7996,True
7.6,6.0,10.83,0.436,0.785,415.8722,True
6.6,6.4,12.35,0.434,0.773,416.4228,True
6.0,6.8,12.84,0.434,0.769,416.5762,True
5.4,7.4,12.7,0.434,0.768,417.3382,True
3.4,6.8,17.72,0.426,0.745,417.4086,True
7.8,6.0,10.42,0.434,0.788,417.6492,True
3.2,6.6,18.66,0.427,0.737,417.7901,True
5.8,7.0,12.83,0.433,0.768,417.811,True
5.6,7.2,12.78,0.433,0.768,417.9234,True
3.6,7.0,16.8,0.423,0.752,418.1255,True
4.2,7.4,14.71,0.423,0.765,418.2627,True
8.0,6.0,10.02,0.433,0.79,418.7769,True
4.8,7.6,13.24,0.425,0.771,419.2117,True
3.0,6.4,19.61,0.427,0.73,419.2552,True
7.2,6.2,11.39,0.431,0.779,419.3647,True
5.0,7.6,12.91,0.428,0.77,419.4361,True
4.6,7.6,13.56,0.422,0.772,420.0708,True
5.2,7.6,12.59,0.43,0.769,420.1459,True
6.4,6.6,12.41,0.429,0.771,420.3486,True
3.8,7.2,15.9,0.42,0.757,420.4036,True
6.8,6.4,11.92,0.428,0.775,421.2153,True
2.8,6.2,20.56,0.425,0.724,421.8068,True
7.4,6.2,10.97,0.427,0.781,422.1703,True
6.2,6.8,12.44,0.425,0.769,423.2217,True
4.4,7.6,13.87,0.417,0.767,423.7009,True
4.0,7.4,15.02,0.415,0.761,423.796,True
5.4,7.6,12.25,0.426,0.768,423.8625,True
7.6,6.2,10.56,0.425,0.784,424.2908,True
2.6,6.0,21.52,0.422,0.718,424.3021,True
6.0,7.0,12.44,0.423,0.768,424.9618,True
5.6,7.4,12.34,0.423,0.768,425.0974,True
7.0,6.4,11.5,0.422,0.776,425.1939,True
5.8,7.2,12.41,0.422,0.768,425.5696,True
6.6,6.6,11.99,0.421,0.772,425.6519,True
7.8,6.2,10.16,0.423,0.786,425.7202,True
8.0,6.2,9.78,0.422,0.789,426.5388,True
2.4,5.8,22.47,0.42,0.712,426.6617,True
4.8,7.8,12.75,0.414,0.771,427.1924,True
5.0,7.8,12.45,0.417,0.77,427.3377,True
5.2,7.8,12.13,0.419,0.769,427.9095,True
4.2,7.6,14.17,0.411,0.763,427.947,True
7.2,6.4,11.08,0.418,0.778,428.4018,True
2.2,5.6,23.41,0.418,0.708,428.848,True
4.6,7.8,13.06,0.411,0.77,428.8527,True
6.4,6.8,12.03,0.417,0.77,429.0032,True
5.4,7.8,11.82,0.418,0.769,429.4729,True
6.8,6.6,11.58,0.415,0.774,430.099,True
3.6,7.2,16.2,0.409,0.747,430.5537,True
7.4,6.4,10.68,0.415,0.78,430.8685,True
3.4,7.0,17.1,0.411,0.739,431.056,True
5.6,7.6,11.92,0.415,0.768,431.2426,True
6.2,7.0,12.05,0.414,0.769,431.2705,True
3.8,7.4,15.32,0.407,0.753,431.5612,True
3.2,6.8,18.02,0.411,0.731,432.2582,True
5.8,7.4,11.99,0.413,0.768,432.3831,True
6.0,7.2,12.03,0.413,0.768,432.3859,True
4.4,7.8,13.35,0.406,0.766,432.4675,True
7.6,6.4,10.29,0.413,0.783,432.644,True
7.0,6.6,11.18,0.411,0.775,433.7627,True
7.8,6.4,9.9,0.412,0.785,433.7636,True
4.0,7.6,14.46,0.404,0.758,433.8012,True
6.6,6.8,11.64,0.41,0.771,433.9625,True
4.8,8.0,12.28,0.405,0.772,434.2231,True
5.0,8.0,11.99,0.408,0.771,434.2582,True
