a_mm,b_mm,White_Pos,Pwr_UV,Pwr_UV_Center,Uni_UV,Num_White,Total_Loss,Valid
11.25,10.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.39,0.68,0.43,4,1373.7819,True
10.5,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.42,0.68,0.421,4,1374.0777,True
11.0,10.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.4,0.68,0.426,4,1374.1385,True
10.75,11.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.41,0.68,0.423,4,1374.2373,True
12.0,10.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.29,0.66,0.448,4,1377.4635,True
11.75,10.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.3,0.66,0.442,4,1378.537,True
10.25,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.35,0.67,0.426,4,1379.0707,True
11.5,10.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.3,0.66,0.437,4,1379.3308,True
10.5,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.34,0.67,0.426,4,1379.6906,True
11.25,10.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.31,0.66,0.432,4,1379.8422,True
10.75,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.33,0.66,0.427,4,1380.0241,True
11.0,11.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.32,0.66,0.429,4,1380.0738,True
12.0,10.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.22,0.65,0.449,4,1383.376,True
11.75,10.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.22,0.65,0.444,4,1384.3704,True
10.5,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.26,0.65,0.431,4,1384.7829,True
11.5,10.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.23,0.65,0.439,4,1385.0625,True
10.75,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.25,0.65,0.431,4,1385.3137,True
11.25,11.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.23,0.65,0.436,4,1385.4522,True
11.0,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.24,0.65,0.433,4,1385.5364,True
12.0,10.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.15,0.64,0.451,4,1388.9099,True
11.75,10.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.15,0.64,0.446,4,1389.8046,True
10.75,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.18,0.64,0.436,4,1390.1074,True
11.5,11.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.16,0.64,0.442,4,1390.3712,True
11.0,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.17,0.64,0.437,4,1390.5247,True
11.25,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.16,0.64,0.439,4,1390.6119,True
12.0,10.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.08,0.62,0.454,4,1394.0614,True
11.75,11.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.08,0.62,0.449,4,1394.8289,True
11.0,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.11,0.63,0.442,4,1395.0367,True
11.5,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.09,0.62,0.446,4,1395.2491,True
11.25,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.1,0.62,0.443,4,1395.3192,True
12.0,11.15,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.02,0.61,0.457,4,1398.8213,True
11.75,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.02,0.61,0.453,4,1399.4392,True
11.25,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.04,0.61,0.448,4,1399.5611,True
11.5,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",3.03,0.61,0.45,4,1399.6863,True
12.0,11.4,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",2.96,0.6,0.46,4,1403.1836,True
11.75,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",2.96,0.6,0.456,4,1403.6303,True
11.5,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",2.97,0.6,0.454,4,1403.6847,True
12.0,11.65,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",2.9,0.59,0.463,4,1407.1484,True
11.75,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",2.91,0.59,0.46,4,1407.4003,True
12.0,11.9,"(6.5, 0.0) | (0.0, 6.4) | (-6.5, 0.0) | (-0.0, -6.4)",2.85,0.58,0.467,4,1410.7034,True
